Category,Sub_Category,Total_Sales,Total_Profit
Technology,Phones,329753.14,44448.40
Furniture,Chairs,328449.13,26590.15
"Office Supplies",Storage,216803.20,21528.13
Furniture,Tables,206965.68,-17725.59
"Office Supplies",Binders,199905.72,29982.84
Technology,Machines,189238.68,3384.73
Technology,Accessories,167380.31,41936.78
Technology,Copiers,149528.01,55617.90
Furniture,Bookcases,114880.05,-3472.56
"Office Supplies",Appliances,107532.14,18138.07
Furniture,Furnishings,82752.20,11588.72
"Office Supplies",Paper,75356.16,32711.97
"Office Supplies",Supplies,45952.45,-1348.48
"Office Supplies",Art,27118.80,6527.96
"Office Supplies",Envelopes,15339.47,6460.81
"Office Supplies",Labels,12486.30,5546.18
"Office Supplies",Fasteners,3008.63,942.45
